,Company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance Sheet,Company Status
0,EDINBRIDGE SKILL SOLUTIONS PRIVATE LIMITED,U74900TN2014PTC097958,RoC-Chennai,10/11/2014,2N JAMALS PALAZZO NO. 47 MEDAVAKKAM MAIN ROAD KILKATTALAI CHENNAI Chennai TN 600117 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
1,KADAMBA HOLDINGS PRIVATE LIMITED,U74900TN2014PTC097967,RoC-Chennai,10/11/2014,Flat-A1 No.99 Kumara Vijayam Royapettah High RoadMylapore CHENNAI Chennai TN 600004 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
2,BENCHMARK BILLING SOLUTIONS PRIVATE LIMITED,U74900TN2014PTC097977,RoC-Chennai,11/11/2014,C-304 RAHEJA REGENCY NO. 90 SANTHOME HIGH ROAD R A PURAM Chennai TN 600028 IN,₹ 500000,₹ 500000,14/08/2017,31/03/2017,Active
3,RIGHTCHOICE DIGITAL MEDIA PRIVATE LIMITED,U74900TN2014PTC098108,RoC-Chennai,20/11/2014,3A METTUKALANI STREET ADAMBAKKAM CHENNAI Chennai TN 600088 IN,₹ 1000000,₹ 100000,,,Active
4,SRICINEGAM FINANCE PRIVATE LIMITED,SRICINEGAM FINANCE PRIVATE LIMITED,RoC-Chennai,17/12/2018,NO.5/1A 1ST FLOOR R.S PILLAI STREET TINDIVANAM Villupuram TN 604001 IN,₹ 1000000,₹ 500000,,,Active
5,IN-HOUSE FABRICATION PRIVATE LIMITED,U74900TN2014PTC097921,RoC-Chennai,07/11/2014,NO.1/5 NORTH MADA STREET MANNIVAKKAM CHENNAI Chennai TN 600048 IN,₹ 100000,₹ 100000,31/10/2015,31/03/2015,Active
6,TML RESOURCES PRIVATE LIMITED,U74900TN2014PTC097909,RoC-Chennai,05/11/2014,102/B EX SERVICE MAN COLONY 9TH STREET PONMALAI TRICHY Tiruchirappalli TN 620004 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
7,MATCHIFY SERVICES PRIVATE LIMITED,U74900TN2014PTC097993,RoC-Chennai,12/11/2014,TVH Beliciaa Towers Tower II 10th Floor No. 94 MRC Nagar Mandaveli Chennai Chennai TN 600028 IN,₹ 42000000,₹ 41245000,30/09/2017,31/03/2017,Active
8,VULCAN LOGISTICS INDIA PRIVATE LIMITED,U74900TN2014PTC098022,RoC-Chennai,13/11/2014,No 75A (Old 105 A) Dr.Radhakrishnan Salai Mylapore CHENNAI Chennai TN 600004 IN,₹ 100000,₹ 100000,,,Active
9,OPTIMIST PLASTICS PRIVATE LIMITED,U74900TN2014PTC098071,RoC-Chennai,17/11/2014,Old No.1/69New No.1/20Poanamallee High Road SivaboothamVanagaram Chennai Chennai TN 600095 IN,₹ 100000,₹ 100000,,,Active
10,ELASTIC TREE MARKETING SERVICES PRIVATE LIMITED,U74900TN2014PTC098001,RoC-Chennai,13/11/2014,NO B8 LAKSHMINARAYAN APTS 11 KUMARAPPA STREET NUNGAMBAKKAM CHENNAI Chennai TN 600034 IN,₹ 500000,₹ 100000,30/09/2017,31/03/2017,Active
11,GKAY IMPEX (INDIA) PRIVATE LIMITED,U74900TN2014PTC098018,RoC-Chennai,13/11/2014,No 49/93 1st Floor East Madha Church Street Royapuram Chennai Chennai TN 600013 IN,₹ 300000,₹ 300000,,,Active
12,PERFECT IMAGINE PICTURES PRIVATE LIMITED,U74900TN2014PTC098020,RoC-Chennai,13/11/2014,Plot No.28 Flat No.B3 Manickam Avenue Madambakkam Chennai Chennai TN 600126 IN,₹ 100000,₹ 100000,,,Active
13,AND HEALTHCARE LIMITED,U51909PB2017PLC046446,RoC-Chandigarh,15/05/2017,Plot No177 Sector 82 Mohali Mohali PB 160082 IN,₹ 5000000,₹ 500000,,,Active
14,WAVE WORX SOUND STATION PRIVATE LIMITED,U74900TN2014PTC098023,RoC-Chennai,14/11/2014,NO.126BASKAR COLONY2ND STREET G2 SRI AMMAN APPARTMENTS SALIGRAMAM CHENNAI Chennai TN 600092 IN,₹ 100000,₹ 100000,,,Active
15,ROYAL INDIA MANAGEMENT SERVICES PRIVATE LIMITED,U74900TN2014PTC098032,RoC-Chennai,14/11/2014,No.4/1Nolambur Main Road Mogappair West CHENNAI Chennai TN 600037 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
16,QUARK DATUM SOLUTIONS PRIVATE LIMITED,U74900TN2014PTC098034,RoC-Chennai,14/11/2014,NO.21 SHASTRI STREET INDIRA NAGAR ANAKAPUTHUR CHENNAI TN 600070 IN,₹ 100000,₹ 100000,,,Active
17,SDB SELECT SERVICES PRIVATE LIMITED,U74900TN2014PTC098039,RoC-Chennai,14/11/2014,OLD NO.4 NEW NO.9 TTK ROAD 1ST CROSS STREET ALWARPET CHENNAI Chennai TN 600018 IN,₹ 10000000,₹ 10000000,30/09/2016,31/03/2016,Active
18,KALI - FL CONSULTING ENGINEERS PRIVATE LIMITED,U74900TN2014PTC098040,RoC-Chennai,14/11/2014,FLAT NO 3FIRST FLOOR &quot; J&quot; APARTMENTSNEW NO 11 Old No 3 III Cross Street Kasturba Nagaradyar Chennai Chennai TN 600020 IN,₹ 10000000,₹ 6482000,25/09/2017,31/03/2017,Active
19,ETERNITY DISTRIBUTION PRIVATE LIMITED,U74900TN2014PTC098045,RoC-Chennai,14/11/2014,FIRST FLOOR PLOT NO.154 III MAIN ROAD PALANIAPPA NAGARPUDUR AMBATTUR CHENNAI Chennai TN 600053 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
20,INSTA REMEDY AND TECHNOLOGY SOLUTIONS PRIVATE LIMITED,U74900TN2014PTC098051,RoC-Chennai,17/11/2014,OLD NO.276 &amp; 277 NEW NO.497 &amp; 498 8TH FLOOR ISANA BUILDINGPOONAMALLEE HIGH ROAD ARUMBAKKAM CHENNAI Chennai TN 600106 IN,₹ 500000,₹ 500000,30/09/2016,31/03/2016,Active
21,VRS ECO BATHROOM TRENDS PRIVATE LIMITED,U74900TN2014PTC098053,RoC-Chennai,17/11/2014,F3 Aries VGN Zodiac Ville 62 Devadoss Street Mogappair Chennai Thiruvallur TN 600037 IN,₹ 100000,₹ 100000,,,Active
22,AKS ENGINEERING PRIVATE LIMITED,U74900TN2014PTC098060,RoC-Chennai,17/11/2014,4H/18/10CFirst floorKooza Complex Khaderpet Vaniyambadi Vellore TN 635751 IN,₹ 100000,₹ 100000,,,Active
23,RAIN STOCK TECH AND CONSULTANTS PRIVATE LIMITED,U74900TN2014PTC098070,RoC-Chennai,17/11/2014,10C/9 BYE PASS ROAD KEEZHAPURA STREET MADURAI Madurai TN 625003 IN,₹ 690000,₹ 420000,30/09/2015,31/03/2015,Active
24,AL - ADAMS TRADERS PRIVATE LIMITED,U74900TN2014PTC098187,RoC-Chennai,25/11/2014,NO. B-3 PRINCE TOWERS 94 PURASAWALKAM HIGH ROAD CHENNAI Chennai TN 600010 IN,₹ 100000,₹ 100000,,,Active
